IBM
Call: ibm -r -g 4213 
Seed: 123
Date: Fri Nov 02 10:17:32 2018
Version: 2018-11-01 09:04:42 UTC (rev. aebc669)
Environment: machine:DESKTOP-D3MBM6L, user:Dell User, os:Windows_NT, pid:8288

*initialisation_partition[init_1]
ewuilibrium_shortcut: 1969
values {d}
row-col 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
5-2 1518 1248 1139 941 833 713 615 526 467 340 355 313 255 205 189 149 140 113 89 96 591
5-3 1457 1250 1015 876 756 660 540 455 392 374 280 277 245 220 189 142 104 99 104 85 580
5-4 984 864 721 651 550 447 403 354 280 268 216 179 152 126 108 84 103 81 81 46 406
5-5 602 545 434 382 335 291 259 227 192 139 152 119 110 69 83 80 71 38 40 40 223
5-6 194 143 130 128 90 78 71 62 77 40 39 29 25 23 19 18 13 24 11 11 75
5-7 111 102 87 84 60 45 41 37 24 38 27 28 13 20 13 15 11 6 4 2 47
5-8 70 67 48 45 46 33 26 23 23 17 16 16 10 13 6 7 9 1 4 3 38
5-9 50 42 41 19 28 20 19 19 16 10 16 9 8 9 9 1 4 2 6 2 17
5-10 32 30 22 31 26 13 10 10 9 10 5 5 5 7 1 3 4 3 2 5 19
6-1 1199 965 895 751 674 571 477 394 326 306 270 246 177 169 146 135 100 105 61 58 466
6-2 1146 976 841 772 629 540 474 400 340 291 247 242 189 155 127 127 97 81 75 61 447
6-3 1203 1076 924 731 659 570 498 424 343 316 286 224 226 182 140 123 110 94 84 68 498
6-4 994 796 727 622 528 466 404 344 301 256 223 168 178 128 132 123 96 72 59 70 381
6-5 578 504 410 361 269 254 213 164 199 139 88 88 90 86 74 78 41 47 31 33 217
6-6 173 142 132 108 95 89 80 61 54 51 47 34 22 22 22 12 13 10 11 12 60
6-7 106 91 91 63 65 61 57 41 35 32 26 19 23 17 17 11 3 12 12 5 39
6-8 73 68 49 45 43 39 38 30 21 18 17 18 14 8 10 12 8 3 4 2 34
6-9 46 49 39 33 29 27 29 21 17 12 14 6 10 8 7 1 8 2 4 4 18
6-10 38 38 28 26 21 15 21 15 14 12 14 9 9 4 4 3 3 5 1 2 11
7-1 1046 859 784 637 543 500 423 363 318 290 207 214 164 154 133 99 78 77 67 63 388
7-2 1133 979 843 708 587 555 456 410 364 287 238 208 195 175 138 122 101 84 87 73 457
7-3 1125 915 790 658 592 498 445 368 329 269 217 184 176 166 108 144 96 84 72 71 396
7-4 889 799 624 532 504 356 363 327 283 218 171 151 146 115 100 100 78 61 65 58 346
7-5 572 441 443 338 296 254 208 180 185 143 133 110 95 62 79 48 42 43 38 34 215
7-6 158 132 102 120 89 79 80 63 51 45 28 29 38 22 17 16 17 12 11 9 54
7-7 103 106 70 54 58 48 44 33 33 26 23 25 21 16 16 9 7 4 12 13 48
7-8 78 51 62 44 40 40 25 21 21 14 19 20 11 20 9 11 4 6 7 3 27
7-9 57 54 35 32 26 23 25 14 14 16 11 12 6 10 6 4 6 7 0 2 14
7-10 51 29 29 24 25 22 12 14 11 9 2 7 5 6 3 3 3 2 2 0 14
8-1 1367 1154 971 866 773 641 580 484 412 359 315 265 223 225 175 138 105 108 94 87 559
8-2 958 830 712 618 497 482 372 356 280 243 245 192 174 137 126 103 80 78 49 59 385
8-3 833 702 580 549 438 340 360 309 236 210 200 155 140 136 89 86 64 55 49 47 303
