IBM
Call: ibm -r 
Seed: 123
Date: Thu Oct 31 14:18:39 2019
Version: 2019-10-07 02:58:21 UTC (rev. 2006f9b)
Environment: machine:DESKTOP-D3MBM6L, user:Dell User, os:Windows_NT, pid:14088

*initialisation_partition[init_1]
equilibrium_shortcut: 1949
values {d}
row-col 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
5-9 18019.6 13971.7 11621.3 11229.6 10185 9009.79 7181.72 7573.45 7312.29 6659.41 3786.72 3656.15 3917.3 3394.99 2480.96 1697.5 1958.65 1305.77 914.037 783.46 6789.99
5-10 14885.8 10837.9 10315.6 7051.14 7965.18 6267.68 5745.37 4439.61 4570.18 3264.42 2742.11 2089.23 2350.38 2480.96 1958.65 1175.19 783.46 652.884 1305.77 783.46 5484.22
6-1 456347 401772 345891 281785 256324 212973 179283 157085 136845 113733 99630.7 90620.8 77301.9 63721.7 58629.2 46224.3 44918.5 35778 33035.9 26507.1 170535
6-2 453736 381796 321345 290924 247184 204485 187379 155257 137237 116475 98586.1 80566.3 70903.5 64896.9 51708.5 47921.8 42568.1 32252.4 27682.2 27029.4 151993
6-3 482721 412217 356336 310247 261286 221591 197564 164267 144680 130186 110860 91143.1 72992.8 67116.8 58629.2 47399.5 47921.8 35647.4 34341.6 26768.2 167923
6-4 380098 334924 279304 248359 202265 179414 162439 127052 110077 100153 81088.6 70120.1 66855.6 56670.5 45179.6 36300.3 32383 28857.4 22198 21414.6 133059
6-5 230731 180589 161916 142330 116214 99239 86050.6 77171.3 64766.4 54711.8 51708.5 39564.8 34994.5 27159.9 28726.8 24156.7 18803.1 18541.9 14885.8 10837.9 77301.9
6-6 70903.5 62024.2 48835.8 38911.9 36169.7 30816.1 27682.2 23765 21936.9 18672.5 14624.6 13580 12796.5 11621.3 8095.75 6659.41 6137.1 5745.37 4439.61 3525.57 26115.3
6-7 46485.4 36692.1 33688.8 26115.3 23765 20892.3 17758.5 14885.8 13057.7 12404.8 10054.4 9532.1 7834.6 7181.72 4700.76 5614.8 3525.57 4439.61 2219.8 2742.11 15146.9
6-8 31991.3 27159.9 22328.6 19325.4 18541.9 14755.2 12143.6 12013.1 9009.79 8226.33 6659.41 5092.49 5875.95 3656.15 2480.96 3133.84 3133.84 2350.38 1828.07 1566.92 11099
